Data;Cliente ID;Produto SKU;Qtde.;;;;
17/01/2014;C0022;VS002;880;;;;
17/01/2014;C0022;VS003;824;;;;
17/01/2014;C0022;VS004;502;;;;
17/01/2014;C0028;VS005;665;;;;
17/01/2014;C0022;AL001;193;;;;
17/01/2014;C0028;AL002;980;;;;
17/01/2014;C0022;AS001;434;;;;
17/01/2014;C0022;AS002;949;;;;
17/01/2014;C0028;AS004;559;;;;
17/01/2014;C0028;CS004;550;;;;
20/01/2014;C0027;CT002;406;;;;
20/01/2014;C0024;CT003;438;;;;
20/01/2014;C0010;VS001;490;;;;
20/01/2014;C0016;VS002;988;;;;
20/01/2014;C0010;VS003;487;;;;
20/01/2014;C0010;VS004;992;;;;
20/01/2014;C0016;VS005;794;;;;
20/01/2014;C0010;AL001;507;;;;
20/01/2014;C0010;AL002;584;;;;
20/01/2014;C0024;AS001;320;;;;
20/01/2014;C0027;AS002;467;;;;
20/01/2014;C0016;AS003;421;;;;
20/01/2014;C0016;AS004;739;;;;
20/01/2014;C0024;CS004;1210;;;;
20/01/2014;C0024;CT001;873;;;;
20/01/2014;C0010;CT002;537;;;;
20/01/2014;C0027;CT003;349;;;;
20/01/2014;C0016;VS001;589;;;;
21/01/2014;C0008;VS002;1208;;;;
21/01/2014;C0010;VS003;585;;;;
21/01/2014;C0013;VS004;139;;;;
21/01/2014;C0001;VS005;753;;;;
21/01/2014;C0010;AL001;476;;;;
21/01/2014;C0001;AL002;579;;;;
21/01/2014;C0010;AS001;1390;;;;
21/01/2014;C0010;AS002;268;;;;
21/01/2014;C0010;AS003;349;;;;
21/01/2014;C0013;AS004;242;;;;
21/01/2014;C0010;CS004;862;;;;
21/01/2014;C0010;CT001;679;;;;
21/01/2014;C0010;CT002;838;;;;
21/01/2014;C0013;CT003;367;;;;
21/01/2014;C0001;VS001;1205;;;;
22/01/2014;C0009;VS003;360;;;;
22/01/2014;C0008;VS004;820;;;;
22/01/2014;C0009;VS005;1125;;;;
22/01/2014;C0008;AL001;484;;;;
22/01/2014;C0009;AL002;490;;;;
22/01/2014;C0009;AS001;201;;;;
22/01/2014;C0008;AS002;268;;;;
22/01/2014;C0009;AS003;1145;;;;
22/01/2014;C0009;AS004;282;;;;
22/01/2014;C0009;CS004;1128;;;;
22/01/2014;C0009;CT001;370;;;;
22/01/2014;C0008;CT002;325;;;;
22/01/2014;C0008;CT003;618;;;;
22/01/2014;C0009;VS001;1085;;;;
22/01/2014;C0008;VS002;388;;;;
22/01/2014;C0008;VS003;1141;;;;
22/01/2014;C0009;VS004;516;;;;
23/01/2014;C0020;VS005;953;;;;
23/01/2014;C0010;AL001;900;;;;
23/01/2014;C0010;AL002;1141;;;;
23/01/2014;C0020;AS001;180;;;;
23/01/2014;C0020;AS002;661;;;;
23/01/2014;C0020;AS003;879;;;;
23/01/2014;C0010;AS004;696;;;;
23/01/2014;C0010;CS004;623;;;;
23/01/2014;C0010;CT001;1629;;;;
23/01/2014;C0010;CT002;399;;;;
23/01/2014;C0010;CT003;524;;;;
23/01/2014;C0010;VS001;523;;;;
23/01/2014;C0010;VS002;546;;;;
23/01/2014;C0020;VS003;712;;;;
24/01/2014;C0013;VS004;1878;;;;
24/01/2014;C0012;VS005;760;;;;
24/01/2014;C0004;AL001;1282;;;;
24/01/2014;C0012;AL002;379;;;;
24/01/2014;C0013;AS001;587;;;;
24/01/2014;C0012;AS002;705;;;;
24/01/2014;C0013;AS003;1020;;;;
24/01/2014;C0012;AS004;698;;;;
24/01/2014;C0013;CS004;392;;;;
24/01/2014;C0013;CT001;282;;;;
24/01/2014;C0013;CT002;280;;;;
24/01/2014;C0013;CT003;1197;;;;
24/01/2014;C0013;VS001;698;;;;
24/01/2014;C0013;VS002;807;;;;
24/01/2014;C0004;VS003;637;;;;
24/01/2014;C0004;VS005;1016;;;;
27/01/2014;C0029;AL001;487;;;;
27/01/2014;C0014;AL002;1654;;;;
27/01/2014;C0014;AS001;969;;;;
27/01/2014;C0014;AS002;336;;;;
27/01/2014;C0029;AS003;384;;;;
27/01/2014;C0014;AS004;734;;;;
27/01/2014;C0029;CS004;884;;;;
27/01/2014;C0029;CT001;913;;;;
27/01/2014;C0029;CT002;404;;;;
27/01/2014;C0014;CT003;972;;;;
27/01/2014;C0029;VS001;565;;;;
27/01/2014;C0029;VS002;348;;;;
27/01/2014;C0014;VS003;532;;;;
27/01/2014;C0014;VS004;585;;;;
27/01/2014;C0029;VS005;1090;;;;
27/01/2014;C0014;AL001;247;;;;
27/01/2014;C0029;AS002;314;;;;
28/01/2014;C0021;AS003;849;;;;
28/01/2014;C0015;AS004;992;;;;
28/01/2014;C0020;CS004;810;;;;
28/01/2014;C0020;CT001;630;;;;
28/01/2014;C0015;CT002;1354;;;;
28/01/2014;C0020;CT003;557;;;;
28/01/2014;C0020;VS001;1201;;;;
28/01/2014;C0021;VS002;762;;;;
28/01/2014;C0020;VS003;967;;;;
28/01/2014;C0015;VS004;983;;;;
28/01/2014;C0015;VS005;551;;;;
28/01/2014;C0015;AL001;217;;;;
28/01/2014;C0020;AL002;665;;;;
28/01/2014;C0015;AS001;213;;;;
28/01/2014;C0021;AS002;858;;;;
28/01/2014;C0020;AS003;666;;;;
28/01/2014;C0015;CT001;587;;;;
29/01/2014;C0030;CT003;1434;;;;
29/01/2014;C0003;VS001;953;;;;
29/01/2014;C0027;VS002;647;;;;
29/01/2014;C0005;VS003;557;;;;
29/01/2014;C0027;VS004;727;;;;
29/01/2014;C0005;VS005;329;;;;
29/01/2014;C0003;AL001;210;;;;
29/01/2014;C0005;AL002;966;;;;
29/01/2014;C0003;AS001;603;;;;
29/01/2014;C0005;AS002;1276;;;;
29/01/2014;C0030;AS003;628;;;;
29/01/2014;C0003;AS004;368;;;;
29/01/2014;C0005;CS004;940;;;;
29/01/2014;C0005;CT001;543;;;;
29/01/2014;C0005;CT002;1509;;;;
29/01/2014;C0005;CT003;417;;;;
29/01/2014;C0030;VS001;917;;;;
30/01/2014;C0011;VS002;697;;;;
30/01/2014;C0002;VS003;1126;;;;
30/01/2014;C0029;VS004;561;;;;
30/01/2014;C0011;VS005;1103;;;;
30/01/2014;C0029;AL001;435;;;;
30/01/2014;C0029;AL002;1418;;;;
30/01/2014;C0002;AS001;438;;;;
30/01/2014;C0029;AS002;276;;;;
30/01/2014;C0011;AS003;863;;;;
30/01/2014;C0002;AS004;632;;;;
30/01/2014;C0029;CS004;1241;;;;
30/01/2014;C0002;CT001;922;;;;
30/01/2014;C0002;CT002;542;;;;
30/01/2014;C0011;CT003;632;;;;
30/01/2014;C0011;VS001;580;;;;
30/01/2014;C0029;VS002;863;;;;
30/01/2014;C0029;VS003;266;;;;
30/01/2014;C0011;VS004;416;;;;
31/01/2014;C0005;VS005;1443;;;;
31/01/2014;C0004;AL001;346;;;;
31/01/2014;C0004;AL002;609;;;;
31/01/2014;C0004;AS001;1066;;;;
31/01/2014;C0004;AS002;731;;;;
31/01/2014;C0004;AS003;444;;;;
31/01/2014;C0005;AS004;770;;;;
31/01/2014;C0005;CS004;1121;;;;
31/01/2014;C0004;CT001;623;;;;
31/01/2014;C0005;CT002;1253;;;;
31/01/2014;C0004;CT003;418;;;;
31/01/2014;C0004;VS001;798;;;;
31/01/2014;C0004;VS002;279;;;;
31/01/2014;C0004;VS003;1055;;;;
31/01/2014;C0005;VS004;556;;;;
31/01/2014;C0005;AL001;939;;;;
31/01/2014;C0005;AL002;774;;;;
03/02/2014;C0018;CT001;535;;;;
03/02/2014;C0020;CT002;2129;;;;
03/02/2014;C0018;CT003;1626;;;;
03/02/2014;C0018;VS001;904;;;;
03/02/2014;C0020;VS002;673;;;;
03/02/2014;C0020;VS003;885;;;;
03/02/2014;C0020;VS004;672;;;;
03/02/2014;C0020;VS005;422;;;;
03/02/2014;C0018;AL001;184;;;;
03/02/2014;C0020;AL002;768;;;;
03/02/2014;C0020;AS001;1055;;;;
03/02/2014;C0018;AS002;565;;;;
03/02/2014;C0018;AS003;436;;;;
03/02/2014;C0020;AS004;135;;;;
03/02/2014;C0020;AS005;1231;;;;
03/02/2014;C0018;AT001;332;;;;
03/02/2014;C0020;CT001;1412;;;;
04/02/2014;C0019;VS001;613;;;;
04/02/2014;C0006;VS002;747;;;;
04/02/2014;C0006;VS003;1401;;;;
04/02/2014;C0019;VS004;713;;;;
04/02/2014;C0006;VS005;776;;;;
04/02/2014;C0019;AL001;532;;;;
04/02/2014;C0006;AL002;470;;;;
04/02/2014;C0019;AS001;567;;;;
04/02/2014;C0006;AS002;543;;;;
04/02/2014;C0006;AS003;1208;;;;
04/02/2014;C0019;AS004;1364;;;;
04/02/2014;C0006;AS005;631;;;;
04/02/2014;C0019;AT001;953;;;;
04/02/2014;C0006;CT001;595;;;;
04/02/2014;C0006;CT002;420;;;;
04/02/2014;C0006;CT003;408;;;;
04/02/2014;C0006;VS001;1394;;;;
04/02/2014;C0019;VS002;682;;;;
04/02/2014;C0019;VS003;198;;;;
05/02/2014;C0007;VS004;1994;;;;
05/02/2014;C0026;VS005;785;;;;
05/02/2014;C0007;AL001;1413;;;;
05/02/2014;C0026;AL002;374;;;;
05/02/2014;C0007;AS001;341;;;;
05/02/2014;C0026;AS002;1190;;;;
05/02/2014;C0026;AS003;520;;;;
05/02/2014;C0026;AS004;186;;;;
05/02/2014;C0007;AS005;366;;;;
05/02/2014;C0007;AT001;1003;;;;
05/02/2014;C0007;CT001;746;;;;
05/02/2014;C0007;CT002;391;;;;
05/02/2014;C0007;CT003;405;;;;
05/02/2014;C0007;VS001;1047;;;;
05/02/2014;C0007;VS002;668;;;;
05/02/2014;C0007;VS003;1536;;;;
05/02/2014;C0007;VS005;477;;;;
05/02/2014;C0026;AL001;917;;;;
06/02/2014;C0001;AL002;350;;;;
06/02/2014;C0023;AS001;1733;;;;
06/02/2014;C0001;AS002;1708;;;;
06/02/2014;C0001;AS003;339;;;;
06/02/2014;C0023;AS004;1353;;;;
06/02/2014;C0001;AS005;782;;;;
06/02/2014;C0023;AT001;1231;;;;
06/02/2014;C0023;CT001;535;;;;
06/02/2014;C0023;CT002;456;;;;
06/02/2014;C0001;CT003;145;;;;
06/02/2014;C0023;VS001;324;;;;
06/02/2014;C0023;VS002;1498;;;;
06/02/2014;C0023;VS003;541;;;;
06/02/2014;C0023;VS004;365;;;;
06/02/2014;C0023;VS005;204;;;;
06/02/2014;C0023;AL001;385;;;;
06/02/2014;C0023;AL002;613;;;;
06/02/2014;C0023;AS003;408;;;;
07/02/2014;C0016;AS004;509;;;;
07/02/2014;C0027;AS005;718;;;;
07/02/2014;C0029;AT001;972;;;;
07/02/2014;C0029;CT001;736;;;;
07/02/2014;C0029;CT002;116;;;;
07/02/2014;C0016;CT003;551;;;;
07/02/2014;C0016;VS001;494;;;;
07/02/2014;C0016;VS002;577;;;;
07/02/2014;C0027;VS003;849;;;;
07/02/2014;C0016;VS004;488;;;;
07/02/2014;C0029;VS005;295;;;;
07/02/2014;C0027;AL001;362;;;;
07/02/2014;C0029;AL002;309;;;;
07/02/2014;C0016;AS001;280;;;;
07/02/2014;C0029;AS002;497;;;;
07/02/2014;C0029;AS003;480;;;;
07/02/2014;C0027;AS004;465;;;;
07/02/2014;C0027;CT001;379;;;;
10/02/2014;C0029;CT002;740;;;;
10/02/2014;C0007;CT003;1116;;;;
10/02/2014;C0019;VS001;246;;;;
10/02/2014;C0007;VS002;493;;;;
10/02/2014;C0019;VS003;229;;;;
10/02/2014;C0019;VS004;128;;;;
10/02/2014;C0007;VS005;222;;;;
10/02/2014;C0019;AL001;877;;;;
10/02/2014;C0019;AL002;444;;;;
10/02/2014;C0029;AS001;661;;;;
10/02/2014;C0029;AS002;840;;;;
10/02/2014;C0019;AS003;1306;;;;
10/02/2014;C0007;AS004;555;;;;
10/02/2014;C0007;AS005;443;;;;
10/02/2014;C0007;AT001;900;;;;
10/02/2014;C0019;CT001;999;;;;
10/02/2014;C0019;CT002;139;;;;
10/02/2014;C0029;VS001;910;;;;
11/02/2014;C0015;VS002;494;;;;
11/02/2014;C0004;VS003;482;;;;
11/02/2014;C0002;VS004;2223;;;;
11/02/2014;C0004;VS005;582;;;;
11/02/2014;C0002;AL001;494;;;;
11/02/2014;C0004;AL002;516;;;;
11/02/2014;C0015;AS001;418;;;;
11/02/2014;C0004;AS002;346;;;;
11/02/2014;C0002;AS003;1074;;;;
11/02/2014;C0002;AS004;521;;;;
11/02/2014;C0015;AS005;293;;;;
11/02/2014;C0015;AT001;421;;;;
11/02/2014;C0004;CT001;411;;;;
11/02/2014;C0004;CT002;400;;;;
11/02/2014;C0004;CT003;542;;;;
11/02/2014;C0004;VS001;405;;;;
11/02/2014;C0002;VS002;323;;;;
11/02/2014;C0015;VS003;1163;;;;
12/02/2014;C0025;VS005;1188;;;;
12/02/2014;C0017;AL001;253;;;;
12/02/2014;C0012;AL002;453;;;;
12/02/2014;C0017;AS001;227;;;;
12/02/2014;C0017;AS002;457;;;;
12/02/2014;C0012;AS003;535;;;;
12/02/2014;C0012;AS004;220;;;;
12/02/2014;C0017;AS005;1010;;;;
12/02/2014;C0025;AT001;1184;;;;
12/02/2014;C0025;CT001;1008;;;;
12/02/2014;C0012;CT002;856;;;;
12/02/2014;C0017;CT003;678;;;;
13/02/2014;C0006;VS001;444;;;;
13/02/2014;C0003;VS002;394;;;;
13/02/2014;C0003;VS003;592;;;;
13/02/2014;C0003;VS004;293;;;;
13/02/2014;C0003;VS005;439;;;;
13/02/2014;C0006;AL001;966;;;;
13/02/2014;C0003;AL002;376;;;;
13/02/2014;C0003;AS001;1389;;;;
13/02/2014;C0003;AS002;370;;;;
13/02/2014;C0003;AS003;251;;;;
13/02/2014;C0003;AS004;925;;;;
13/02/2014;C0003;AS005;488;;;;
13/02/2014;C0003;AT001;1453;;;;
13/02/2014;C0006;CT001;968;;;;
13/02/2014;C0006;CT002;829;;;;
13/02/2014;C0003;CT003;344;;;;
14/02/2014;C0012;VS001;661;;;;
14/02/2014;C0014;VS002;206;;;;
14/02/2014;C0012;VS003;373;;;;
14/02/2014;C0012;VS004;802;;;;
14/02/2014;C0012;VS005;704;;;;
14/02/2014;C0012;AL001;1309;;;;
14/02/2014;C0012;AL002;704;;;;
14/02/2014;C0014;AS001;727;;;;
14/02/2014;C0012;AS002;1282;;;;
14/02/2014;C0012;AS003;685;;;;
14/02/2014;C0012;AS004;606;;;;
14/02/2014;C0014;AS005;681;;;;
17/02/2014;C0002;AT001;761;;;;
17/02/2014;C0005;CT001;295;;;;
17/02/2014;C0026;CT002;550;;;;
17/02/2014;C0026;CT003;468;;;;
17/02/2014;C0002;VS001;495;;;;
17/02/2014;C0002;VS002;406;;;;
17/02/2014;C0026;VS003;481;;;;
17/02/2014;C0026;VS004;336;;;;
17/02/2014;C0026;VS005;363;;;;
17/02/2014;C0002;AL001;1234;;;;
17/02/2014;C0002;AL002;800;;;;
17/02/2014;C0005;AS001;1042;;;;
17/02/2014;C0002;AS002;613;;;;
17/02/2014;C0026;AS003;943;;;;
17/02/2014;C0026;AS004;967;;;;
17/02/2014;C0002;AS005;335;;;;
17/02/2014;C0005;AT001;620;;;;
17/02/2014;C0002;CT001;302;;;;
18/02/2014;C0010;CT003;201;;;;
18/02/2014;C0030;VS001;545;;;;
18/02/2014;C0015;VS002;1064;;;;
18/02/2014;C0028;VS003;1082;;;;
18/02/2014;C0010;VS004;552;;;;
18/02/2014;C0010;VS005;969;;;;
18/02/2014;C0010;AL001;425;;;;
18/02/2014;C0030;AL002;527;;;;
18/02/2014;C0030;AS001;314;;;;
18/02/2014;C0015;AS002;504;;;;
18/02/2014;C0030;AS003;1054;;;;
18/02/2014;C0028;AS004;390;;;;
18/02/2014;C0030;AS005;294;;;;
18/02/2014;C0015;AT001;399;;;;
18/02/2014;C0015;CT001;802;;;;
18/02/2014;C0028;CT002;174;;;;
18/02/2014;C0015;CT003;369;;;;
18/02/2014;C0010;VS001;310;;;;
19/02/2014;C0008;VS002;261;;;;
19/02/2014;C0026;VS003;353;;;;
19/02/2014;C0015;VS004;1146;;;;
19/02/2014;C0026;VS005;977;;;;
19/02/2014;C0026;AL001;493;;;;
19/02/2014;C0008;AL002;1139;;;;
19/02/2014;C0026;AS001;294;;;;
19/02/2014;C0026;AS002;599;;;;
19/02/2014;C0015;AS003;189;;;;
19/02/2014;C0008;AS004;524;;;;
19/02/2014;C0026;AS005;117;;;;
19/02/2014;C0015;AT001;698;;;;
19/02/2014;C0026;CT001;306;;;;
19/02/2014;C0026;CT002;373;;;;
20/02/2014;C0002;CT003;1140;;;;
20/02/2014;C0013;VS001;293;;;;
20/02/2014;C0008;VS002;517;;;;
20/02/2014;C0030;VS003;1171;;;;
20/02/2014;C0002;VS004;1148;;;;
20/02/2014;C0008;VS005;594;;;;
20/02/2014;C0008;AL001;450;;;;
20/02/2014;C0013;AL002;371;;;;
20/02/2014;C0013;AS001;380;;;;
20/02/2014;C0030;AS002;640;;;;
20/02/2014;C0008;AS003;383;;;;
20/02/2014;C0030;AS004;359;;;;
20/02/2014;C0030;AS005;211;;;;
20/02/2014;C0013;AT001;520;;;;
21/02/2014;C0019;CT001;617;;;;
21/02/2014;C0014;CT002;406;;;;
21/02/2014;C0014;CT003;998;;;;
21/02/2014;C0014;VS001;930;;;;
21/02/2014;C0019;VS002;994;;;;
21/02/2014;C0019;VS003;644;;;;
21/02/2014;C0014;VS004;292;;;;
21/02/2014;C0014;VS005;330;;;;
21/02/2014;C0019;AL001;1054;;;;
21/02/2014;C0014;AL002;1443;;;;
21/02/2014;C0014;AS001;619;;;;
21/02/2014;C0014;AS002;867;;;;
21/02/2014;C0019;AS003;1114;;;;
21/02/2014;C0019;AS004;489;;;;
21/02/2014;C0019;AS005;370;;;;
21/02/2014;C0019;AT001;536;;;;
21/02/2014;C0019;CT003;303;;;;
24/02/2014;C0011;VS001;1738;;;;
24/02/2014;C0026;VS002;1189;;;;
24/02/2014;C0030;VS003;630;;;;
24/02/2014;C0026;VS004;128;;;;
24/02/2014;C0030;VS005;515;;;;
24/02/2014;C0026;AL001;781;;;;
24/02/2014;C0011;AL002;1423;;;;
24/02/2014;C0026;AS001;739;;;;
24/02/2014;C0011;AS002;1320;;;;
24/02/2014;C0026;AS003;998;;;;
24/02/2014;C0011;AS004;745;;;;
24/02/2014;C0030;AS005;880;;;;
24/02/2014;C0030;AT001;567;;;;
24/02/2014;C0026;CT001;880;;;;
24/02/2014;C0026;CT002;719;;;;
24/02/2014;C0030;CT003;1092;;;;
25/02/2014;C0015;VS002;1207;;;;
25/02/2014;C0010;VS003;420;;;;
25/02/2014;C0010;VS004;651;;;;
25/02/2014;C0015;VS005;280;;;;
25/02/2014;C0010;AL001;795;;;;
25/02/2014;C0015;AL002;1072;;;;
25/02/2014;C0010;AS001;782;;;;
25/02/2014;C0015;AS002;209;;;;
25/02/2014;C0015;AS003;1217;;;;
25/02/2014;C0010;AS004;834;;;;
25/02/2014;C0010;AS005;425;;;;
25/02/2014;C0015;AT001;407;;;;
25/02/2014;C0010;CT001;355;;;;
25/02/2014;C0010;CT002;258;;;;
25/02/2014;C0010;CT003;814;;;;
25/02/2014;C0010;VS001;466;;;;
25/02/2014;C0015;VS003;697;;;;
26/02/2014;C0010;VS004;529;;;;
26/02/2014;C0005;VS005;293;;;;
26/02/2014;C0010;AL001;876;;;;
26/02/2014;C0005;AL002;471;;;;
26/02/2014;C0005;AS001;323;;;;
26/02/2014;C0010;AS002;1245;;;;
26/02/2014;C0010;AS003;355;;;;
26/02/2014;C0005;AS004;251;;;;
